Thématique,Niveau,Acronyme,Secret,Nom complet,Création,Description,Description plus simple,PRINCIPAUX LIENS avec,
JUSTICE,National,FIJAIT,,[Fichier judiciaire automatisé des auteurs d’infractions à caractère terroriste],2015,Personnes condamnées (y compris par un tribunal étranger). Diffère en cela du FSPRT (suspectés).,Personnes condamnées (y compris par un tribunal étranger). Diffère en cela du FSPRT (suspectés).,"Lien1: Cassiopée; CJNA
LIEN2: IST (interdit de sortie); Min INTER; Min ARMEES",
LOGEMENT,Local,115 / SAMU social,,,1997,"Fichiers du 115, services de maraudes actifs dans certaines villes et gérés par des groupements d’intérêt public (GIP).","Fichiers du 115, services de maraudes actifs dans certaines villes, gérés par des groupements d’intérêt public (GIP).",LIEN1: SIAO,
LOGEMENT,National,ADOMA,,,2007,Ex-Sonacotra. Réseau de centres d’hébergement pour réfugiés ou travailleurs étrangers.,Réseau de centres d’hébergement pour réfugiés ou travailleurs étrangers.,LIEN1: SIAO,
LOGEMENT,National,DALORIF,,,2007,"Fichier de gestion des candidatures DALO (droit au logement opposable, loi Borloo, 2007).",Candidatures DALO (droit au logement opposable).,LIEN1: ; RNCPS; Cristal; SIAO,
LOGEMENT,National,DN@,,[Dispositif national d’accueil],1991,Foyers pour réfugiés demandeurs d’asile (géré par l’Office français de l’immigration). Certains foyers Adoma en font partie.,Foyers pour réfugiés demandeurs d’asile (géré par l’Office français de l’immigration).,"LIEN1: SIAO; 
LIEN2: ADGREF (étrangers)",
LOGEMENT,National,SIAO,,[Services intégrés d’accueil et d’orientation],2009,Guichet central pour demandeurs d’hébergement d’urgence. ,Guichet central pour demandeurs d’hébergement d’urgence. ,"(Placer SIAO au centre des fichiers d'hébergement?)
LIEN1: RNCPS, Cristal; FSL; SNE-DLS, Syplo; DN@; DALORIF; SDAS, Samu social, Adoma... 
LIEN2: i-Milo (emploi)",
LOGEMENT,National,SNE-DLS,,[Système national d’enregistrement des demandes de logement social],2011,"Guichet unique national géré ensuite localement (communes, départements, préfectures).","Guichet unique national géré ensuite localement (communes, départements, préfectures).",LIEN1: Cristal; FSL; SIAO,
LOGEMENT,National,SYPLO,,[Système priorité logement],2011,Gestion par les préfets du contingent de logements sociaux réservés aux ménages prioritaires. Inscription à partir des points SIAO.,Gestion par les préfets du contingent de logements sociaux réservés aux ménages prioritaires. Inscription à partir des points SIAO.,LIEN1: RNCPS; Cristal; SIAO,
POLICE,National,ADOC,,Accès aux dossiers des contraventions,2004,"Concernait au départ les infractions routières (radars). Étendu en 2020 à toute « amende forfaitaire », y compris délictuelles (détention de stupéfiants). Accessible aux sociétés de location de voitures. ","Toute amende forfaitaire, y compris délictuelle (détention de stupéfiants). Accessible aux sociétés de location de voitures. ","Lien1: FNPC; TAJ; CASSIOPEE (justice)
LIEN2: FIV (véhicules); SCA (radars); FOVES; ",
POLICE,Local,ANACRIM / MERCURE,,,2012,"Anacrim (gendarmerie), Mercure (police). Outils de rapprochements judiciaires entre différentes enquêtes criminelles.","Anacrim (gendarmerie), Mercure (police). Outils de rapprochements judiciaires entre différentes enquêtes criminelles.",LIEN1: Min INTER; Min ARMEES; ,
POLICE,Européen,EUROPOL,,[Office européen de police],1995,Fichiers d’analyse criminelle (suspects ou condamnés) alimentés par chaque État membre via des « unités nationales de contact ».,Fichiers d’analyse criminelle (suspects ou condamnés).,"LIEN1: TAJ; FPR; N-SIS-2 
LIEN2: FAED, FNAEG; rens INTER + ARMEE",
POLICE,National,FAED,,[Fichier automatisé des empreintes digitales],1987,"Héritier des premiers fichiers anthropométriques (1904). Accessible depuis l’étranger (accords de Prum, Europol, Interpol).","Héritier des premiers fichiers anthropométriques (1904). Accessible depuis l’étranger (accords de Prum, Europol, Interpol).","LIEN1: Cassiopee (justice)
LIEN2: TAJ; FNAEG; PRUM (Eu); Europol",biométrique
POLICE,National,FNAEG,,[Fichier national automatisé des empreintes génétiques],1998,"Centralisé par la police scientifique à Écully (Rhône). Accessible depuis l'étranger (accords de Prum, Europol, Interpol. Fiche 4,8 millions de personnes (2020).","Centralisé par la police scientifique à Écully (Rhône). Accessible depuis l'étranger (accords de Prum, Europol, Interpol). 4,8 millions de personnes (2020).","LIEN1: Cassiopee 
LIEN2: TAJ; FAED; Prum; Europol",biométrique
POLICE,National,FNG-CNI,,[Fichier national de gestion - cartes nationales d’identité],1987,"Carte biométrique. Depuis 2021, la CNI comporte deux empreintes digitales en plus de la photo du visage. Lecture optique facilitée lors de contrôles d'identité. ","Depuis 2021, la CNI comporte deux empreintes digitales en plus de la photo du visage. Lecture optique facilitée lors de contrôles d'identité. ",LIEN1: TES,biométrique
POLICE,National,FNIS ,,Fichier des interdictions de stades,2007,Interdictions judiciaires ou administratives (préfets). ,Interdictions judiciaires ou administratives (préfets). ,"Lien1: CASSIOPEE; 
Lien2: PASP-GIPASP; FPR, GESTEREXT...",
POLICE,National,FPR,"En partie: ""Fiches S"" seulement",[Fichier des personnes recherchées],1969,"Le plus vieux des fichiers policiers créé par la gendarmerie. Clandestin puis officialisé en 1996. Fichier à la fois judiciaire et administratif. Personnes recherchées (mineurs en fugue, mandats d’arrêt, évasions, contrôles judiciaires, etc.) ou signalées : l'une de ses 21 catégories est « S » (sûreté de l’État), divisée en 16 sous-sections (hooligans, djihadistes, militants radicaux, etc.). ","Personnes recherchées (mineurs en fugue, mandats d’arrêt, évasions, contrôles judiciaires, etc.) ou signalées. L'une de ses 21 catégories est « S » (sûreté de l’État), divisée en 16 sous-sections (hooligans, djihadistes, militants radicaux, etc.). Fichier d'abord clandestin puis officialisé en 1996.","LIEN1: N-SIS-2; Europol; API-PNR (transports); FIJAISV; ADGREF; 
LIEN2: PASP-GIPASP; FSPRT (TERRO); GESTEREXT, CGEEDRT; +ACCRED...",
POLICE,Européen,N-SIS-2,,Base nationale du Système d’information de l’espace Schengen,2007,"Recense mandats d’arrêt, interdits de séjour, personnes ciblées comme « menaces » par au moins un État membre. Interconnecté avec une douzaine de fichiers français. Env 800 000 (2016). Biométrique.","Recense mandats d’arrêt, interdits de séjour, personnes ciblées comme « menaces » par au moins un État membre. Env. 800 000 (2016).","Lien1: FPR; FOVES; TES
Lien2: LAPI; ACCRED; EASP",biométrique
POLICE,National,OCTOPUS,OUI,[Outil de centralisation et de traitement opérationnel des procédures et des utilisateurs de signatures] ,2008,"Fichier d’identification des graffeurs. Créé par la préfecture de police de Paris, géré et alimenté avec la police ferroviaire (SNCF, RFF, RATP). Acte réglementaire de création non publié. ","Identification des tagueurs et graffeurs. Créé par la préfecture de police de Paris, géré et alimenté avec la police ferroviaire. Acte réglementaire de création non publié. ",LIEN2: TAJ; Min INTER,
POLICE,National,OSIRIS,,[Outil et système d'informations relatives aux infractions sur les stupéfiants],2006,"Géré par l'Office anti-stupéfiants (Ofast). Clandestin puis officialisé en 2016. Devenu un fichier d'antécédents, parallèle au TAJ.","Géré par l'Office anti-stupéfiants (Ofast). Clandestin puis officialisé en 2016. Devenu un fichier d'antécédents, parallèle au TAJ.","LIEN1: Min Inter;
LIEN2: TAJ, FPR, Rens. INT, DNRED (Douanes)",
POLICE,Européen,PRUM,,"
Traité de Prum (espace Schengen)",2005,Accord prévoyant l'interconnexion de nombreux fichiers policiers de chaque État membre.,Accord prévoyant l'interconnexion de nombreux fichiers policiers de chaque État membre.,"Lien1: N-SIS-2, FNAEG, FAED; SIV (véhicules); FNIS (stades); 
LIEN2: antiterro: FIJAIT, FPR, FSPRT, PASP, GIPASP",
POLICE,National,TAJ,,[Traitement d’antécédents judiciaires],2012,"Recense suspects (dès la garde à vue) mais aussi témoins et victimes. Fusion des fichiers de police (STIC) et de gendarmerie (Judex). Équipé d'un module de reconnaissance faciale. Environ 9,5 millions de  « mis en cause » (2015), dont 3,4 millions avec photo du visage. ","Recense suspects (dès la garde à vue), témoins, victimes. Fusion des fichiers de police (STIC) et de gendarmerie (Judex). Environ 9,5 millions de  « mis en cause » (2015), dont 3,4 millions avec photo (module de reconnaissance faciale). ","LIEN1: FAED; Cassiopée (magistrats); 
LIEN2: FNAEG; FPR; EUROPOL",biométrique
POLICE,National,TES,,[Titres électroniques sécurisés],2008,"Élargi en 2016 pour cumuler les données du TES d’origine (passeport) et du fichier des cartes d’identité. Biométrique. Connecté à tous les logiciels de rédactions de procédure (police, gendarmerie). Reconnaissance faciale possible via le TAJ. ","Élargi en 2016 pour cumuler les données du TES d’origine (passeport) et du fichier des cartes d’identité. Connecté aux logiciels de rédaction de procédure (police, gendarmerie). Reconnaissance faciale possible via le TAJ. ","LIEN1: FNCI; TAJ; FPR
LIEN2: Rens. Min INTER, Rens. Min ARMEES; Rens. douane (DNRED); Interpol; N-SIS-2",biométrique
PRISONS,National,APPI,,"[Application des peines, probation et insertion]",2011,Fichier commun aux JAP (juges d’application des peines) et aux SPIP (services pénitentiaires d’insertion et de probation).,Fichier commun aux juges d’application des peines (JAP) et aux services pénitentiaires d’insertion et de probation (SPIP).,LIEN1: Cassiopée; Genesis; CJNA; PSE; PSEM (bracelets); ,
PRISONS,Local,CEF,,[Centres éducatifs fermés],2003,"Antichambres de la prison pour mineurs (13 à 18 ans). 53 centres ouverts en 2022, 17 de plus en projet. 700 enfants pris en charge. Gérés par les directions départementales de la PJJ (protection judiciaire de la jeunesse).","Antichambres de la prison pour mineurs (13 à 18 ans). 53 centres en 2022, 17 en projet. 700 enfants pris en charge. Gérés par les directions départementales de la protection judiciaire de la jeunesse (PJJ).","LIEN1: Cassiopée; DUP; 
LIEN2: PSE (bracelet) ;",
PRISONS,National,DPS,OUI,Détenus particulièrement surveillés,1967,Détenus soumis à un régime de surveillance strict. ,Détenus soumis à un régime de surveillance strict. ,"LIEN1: GENESIS; APPI; CAR; 
LIEN2: Rens INTER ARMEE",
PRISONS,National,GENESIS,,[Gestion nationale des personnes écrouées pour le suivi individualisé et la sécurité],2014,Fichier central des personnes détenues. Dresse leurs profils dont leurs « contentieux » en détention. Accès restreint possible pour certains recrutements comme avec la CAF ou Pôle emploi. Env. 70 000 (2022).,"Profil des personnes détenues, dont leurs « contentieux » en détention. Env. 70 000 (2022).","LIEN1: APPI; Cassiopée; CAR (rens. prison); 
LIEN2: Cristal; RSA; DUDE; Pole emploi",
PRISONS,National,PSE,,[Placements sous surveillance électronique],2010,"Détention à domicile sous bracelet « fixe » (petites peines, contrôles judiciaires). Géré par les SPIP. Env. 10 000 par an. ","Détenus à domicile sous bracelet (petites peines, contrôles judiciaires). Géré par les SPIP. Env. 10 000 par an. ","Lien1: Cassiopee; APPI; GENESIS
LIEN2: CEF (mineurs)",
PRISONS,National,PSEM,,[Placements sous surveillance électronique mobile],2010,"Détenus sous bracelet géolocalisé (fin de longues peines, rétention de sûreté, assignations administratives...). Env. 100 par an.","Détenus sous bracelet géolocalisé (fin de longues peines, rétention de sûreté, assignations administratives...). Env. 100 par an.",Lien1: Cassiopee; APPI; GENESIS,
RENSEIGNEMENT,National,ACCRED,OUI,[Automatisation de la consultation centralisée de renseignements et de données],2017,"Recoupe 9 fichiers de police ou de renseignement pour dresser le profil de tout candidat à l'embauche en “milieu sensible” (nucléaire, militaire, etc.). Liste origines ethniques et opinions politiques. ","Recoupe 9 fichiers de police ou de renseignement pour dresser le profil de tout candidat à l'embauche en milieu sensible (nucléaire, militaire, etc.). Liste origines ethniques et opinions politiques. ","LIEN1: FPR, TAJ, EASP, PASP, Gipasp, FSPRT, FOVES, GESTEREXT, Cristina… (placer au centre?)",
RENSEIGNEMENT,National,ASTREE,OUI,Assistance et suivi de la radicalité en services éducatifs (mineurs),2017,"Jeunes mineurs suspectés de « radicalisation », géré par la PJJ.","Jeunes mineurs suspectés de radicalisation, géré par la PJJ.",LIEN2: DUP; CAR; CASSIOPEE; FSPRT; EASP-GIPASP...,
RENSEIGNEMENT,National,BCR-DNRED,OUI,Ficher de la Direction du renseignement et des enquêtes douanières,2016,Surveillance des trafics d'armes ou de biens liés au terrorisme et au crime organisé.,Surveillance des trafics d'armes ou de biens liés au terrorisme et au crime organisé.,Lien: Min. FINANCES,
RENSEIGNEMENT,National,BIOPEX,OUI,Protection des opérations extérieures,2017,"Fichier biométrique (empreintes, ADN). Recense militaires décédés (pour identification), soldats ennemis capturés et ceux pouvant menacer les opérations.","Militaires décédés (pour identification), soldats ennemis capturés et ceux pouvant menacer les opérations.",Lien unique: Min. ARMEES,biométrique
RENSEIGNEMENT,National,CGEEDRT,,"Conservation, gestion et exploitation électronique des documents du renseignement territorial",2016,Fichier du service central du renseignement territorial (ex-RG). Cumule les données des cellules RT de chaque préfecture. ,Fichier du service central du renseignement territorial (ex-RG).,"LIEN1: Min INTER
LIEN2: PASP-EASP, GIPASP, FPR, GESTEREXT, FSPRT",
RENSEIGNEMENT,National,CRISTINA,OUI,[Centralisation du renseignement intérieur pour la sécurité du territoire et les intérêts nationaux],2008,"Géré par la DGSI (direction générale à la sécurité intérieure), fusion DST-RG.","Géré par la DGSI (direction générale à la sécurité intérieure), fusion de la DST et des RG.",LIEN1: Rens INTER; ACCRED,
RENSEIGNEMENT,National,DGSE,OUI,Fichiers internes de la Direction de la sécurité extérieure,-,Plusieurs bases de travail non publiées (dont celle du personnel interne). ,,Lien unique: Min. ARMEES,
RENSEIGNEMENT,National,Doremi ,OUI,Fichier de la Direction du renseignement militaire,2007,La DRM utilise aussi un autre fichier distinct de ressortissants étrangers.,,Lien unique: Min. ARMEES,
RENSEIGNEMENT,National,EASP,non,[Enquêtes administratives liées à la sécurité publique],2009,Postulants à des postes sensibles (similaire à Accred). ,Postulants à des postes sensibles (similaire à Accred). ,LIEN1: PASP; GIPASP; ACCRED,
RENSEIGNEMENT,National,FSPRT,OUI,[Fichier des signalements pour la prévention de la radicalisation à caractère terroriste],2015,Alimenté notamment par les « fiches S » du FPR. Recense environ 21 000 personnes (2019). ,Alimenté notamment par les « fiches S » du FPR. Env. 21 000 personnes (2019). ,"LIEN1: FPR; HOPSY; 
LIEN2: PASP-GIPASP; Gesterex; Min INTER et ARMEES",
